symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,SHORT,78179.4,77041.01042801738,0.08928609216516335,78748.5947859913,77041.01042801738,50.82117812195003,101.64235624,13.85902387,87.78333237,WIN,TAKE_PROFIT,2026-07-26T11:58:22.491951+00:00,2026-07-26T11:58:22.492179+00:00,10252.01895676
BTCUSDT,SHORT,76961.7,77609.62713690066,0.07911398036050887,77609.62713690066,75665.84572619866,51.26009478380002,-51.26009478,12.22875294,-63.48884772,LOSS,STOP_LOSS,2026-07-26T11:58:22.493251+00:00,2026-07-26T11:58:22.493524+00:00,10188.53010904
BTCUSDT,SHORT,77563.8,78261.3718680419,0.07302853351611956,78261.3718680419,76168.6562639162,50.942650545200024,-50.94265055,11.37968379,-62.32233433,LOSS,STOP_LOSS,2026-07-26T11:58:22.494978+00:00,2026-07-26T11:58:22.495626+00:00,10126.20777471
BTCUSDT,SHORT,77705.2,76393.3059590874,0.07718769549151919,78361.1470204563,76393.3059590874,50.631038873550025,101.26207775,11.89450855,89.36756919,WIN,TAKE_PROFIT,2026-07-26T11:58:22.496815+00:00,2026-07-26T11:58:22.497620+00:00,10215.5753439
BTCUSDT,SHORT,76489.0,77236.38831861551,0.06834181836574299,77236.38831861551,74994.22336276896,51.077876719500026,-51.07787672,10.50587257,-61.58374929,LOSS,STOP_LOSS,2026-07-26T11:58:22.498971+00:00,2026-07-26T11:58:22.499194+00:00,10153.99159461
BTCUSDT,SHORT,77158.9,78024.34298901031,0.0586635499018924,78024.34298901031,75428.01402197935,50.76995797305003,-50.76995797,9.10359992,-59.87355789,LOSS,STOP_LOSS,2026-07-26T11:58:22.500445+00:00,2026-07-26T11:58:22.500923+00:00,10094.11803672
ETHUSDT,SHORT,2291.44,2190.022271004397,0.9953011309450288,2342.1488644978017,2190.022271004397,50.47059018360003,100.94118037,4.46040447,96.4807759,WIN,TAKE_PROFIT,2026-07-26T11:58:22.502146+00:00,2026-07-26T11:58:22.502845+00:00,10190.59881262
BTCUSDT,SHORT,75045.8,76053.21460105701,0.050577978530029634,76053.21460105701,73030.97079788598,50.95299406310003,-50.95299406,7.64228272,-58.59527678,LOSS,STOP_LOSS,2026-07-26T11:58:22.504171+00:00,2026-07-26T11:58:22.504494+00:00,10132.00353584
BTCUSDT,SHORT,76256.2,77388.7562121359,0.04473068721565703,77388.7562121359,73991.0875757282,50.660017679200024,-50.66001768,6.87264448,-57.53266216,LOSS,STOP_LOSS,2026-07-26T11:58:22.506004+00:00,2026-07-26T11:58:22.507335+00:00,10074.47087368
ETHUSDT,LONG,2307.61,2374.8713491943,1.4978098111855584,2273.97932540285,2374.8713491943,50.37235436840003,100.74470874,7.01346651,93.73124223,WIN,TAKE_PROFIT,2026-07-26T11:58:22.508888+00:00,2026-07-26T11:58:22.509783+00:00,10168.20211591
BTCUSDT,LONG,78567.2,77751.64365173751,0.0623390531970785,77751.64365173751,80198.31269652497,50.84101057955003,-50.84101058,9.74476871,-60.58577929,LOSS,STOP_LOSS,2026-07-26T11:58:22.511411+00:00,2026-07-26T11:58:22.513503+00:00,10107.61633662
BTCUSDT,SHORT,77774.8,78284.89433370302,0.09907595192485294,78284.89433370302,76754.61133259397,50.538081683100025,-50.53808168,15.46176277,-65.99984446,LOSS,STOP_LOSS,2026-07-26T11:58:22.515149+00:00,2026-07-26T11:58:22.515593+00:00,10041.61649216
ETHUSDT,SHORT,2327.23,2352.570691482922,1.9813225102652448,2352.570691482922,2276.548617034156,50.20808246080002,-50.20808246,9.27219445,-59.48027691,LOSS,STOP_LOSS,2026-07-26T11:58:22.517250+00:00,2026-07-26T11:58:22.517658+00:00,9982.13621525
