symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
SOLUSDT,SHORT,56.691,53.98778571428572,36.235374727393335,58.04260714285714,53.98778571428572,48.975991305649984,97.95198261,4.01048727,93.94149534,WIN,TAKE_PROFIT,2026-07-26T11:15:31.519592+00:00,2026-07-26T11:15:31.528774+00:00,9889.13975647
BTCUSDT,LONG,37056.0,36923.03571428571,0.3718720295207584,36923.03571428571,37321.92857142857,49.44569878234998,-49.44569878,27.51073415,-76.95643294,LOSS,STOP_LOSS,2026-07-26T11:15:31.531433+00:00,2026-07-26T11:15:31.540116+00:00,9812.18332353
ETHUSDT,SHORT,2057.54,2076.285714285714,2.6171804322782335,2076.285714285714,2020.0485714285714,49.06091661764998,-49.06091662,10.81896777,-59.87988439,LOSS,STOP_LOSS,2026-07-26T11:15:31.542905+00:00,2026-07-26T11:15:31.553583+00:00,9752.30343914
SOLUSDT,LONG,54.037,57.15378571428572,31.28961800113668,52.47860714285714,57.15378571428572,48.76151719569998,97.52303439,3.47911721,94.04391718,WIN,TAKE_PROFIT,2026-07-26T11:15:31.556753+00:00,2026-07-26T11:15:31.566522+00:00,9846.34735632
BTCUSDT,SHORT,36882.1,36708.55,0.5673493146828043,36968.875,36708.55,49.231736781599984,98.46347356,41.75160484,56.71186872,WIN,TAKE_PROFIT,2026-07-26T11:15:31.569228+00:00,2026-07-26T11:15:31.577767+00:00,9903.05922504
ETHUSDT,LONG,2078.39,2068.4599999999996,4.986434655105699,2068.4599999999996,2098.25,49.51529612519998,-49.51529613,20.67799655,-70.19329267,LOSS,STOP_LOSS,2026-07-26T11:15:31.580589+00:00,2026-07-26T11:15:31.588760+00:00,9832.86593237
SOLUSDT,SHORT,57.071,58.06957142857143,49.23466489741766,58.06957142857143,55.073857142857136,49.16432966184999,-49.16432966,5.66890745,-54.83323711,LOSS,STOP_LOSS,2026-07-26T11:15:31.591999+00:00,2026-07-26T11:15:31.600522+00:00,9778.03269526
BTCUSDT,LONG,36795.6,36677.90357142857,0.41539207323210436,36677.90357142857,37030.99285714285,48.89016347629999,-48.89016348,30.52031098,-79.41047445,LOSS,STOP_LOSS,2026-07-26T11:15:31.605001+00:00,2026-07-26T11:15:31.613689+00:00,9698.62222081
ETHUSDT,SHORT,2073.84,2086.136785714286,3.943559905066364,2086.136785714286,2049.2464285714286,48.49311110404999,-48.4931111,16.40511766,-64.89822876,LOSS,STOP_LOSS,2026-07-26T11:15:31.616892+00:00,2026-07-26T11:15:31.626104+00:00,9633.72399205
SOLUSDT,LONG,58.516,60.823214285714286,41.75478650465925,57.36239285714285,60.823214285714286,48.16861996024999,96.33723992,4.98298341,91.35425651,WIN,TAKE_PROFIT,2026-07-26T11:15:31.629071+00:00,2026-07-26T11:15:31.637344+00:00,9725.07824856
BTCUSDT,SHORT,36812.2,37002.53928571428,0.25546692087407813,37002.53928571428,36431.521428571425,48.625391242799985,-48.62539124,18.85722416,-67.4826154,LOSS,STOP_LOSS,2026-07-26T11:15:31.640314+00:00,2026-07-26T11:15:31.650881+00:00,9657.59563316
ETHUSDT,LONG,2086.57,2073.194285714286,3.61012332757238,2073.194285714286,2113.3214285714284,48.287978165799984,-48.28797817,15.01726209,-63.30524025,LOSS,STOP_LOSS,2026-07-26T11:15:31.654270+00:00,2026-07-26T11:15:31.662888+00:00,9594.29039291
SOLUSDT,SHORT,61.552,63.13964285714286,30.2155184012102,63.13964285714286,58.376714285714286,47.971451964549985,-47.97145196,3.76762263,-51.73907459,LOSS,STOP_LOSS,2026-07-26T11:15:31.665782+00:00,2026-07-26T11:15:31.674216+00:00,9542.55131832
BTCUSDT,LONG,37045.0,36838.35357142857,0.23089078732908208,36838.35357142857,37458.29285714286,47.71275659159999,-47.71275659,17.05898568,-64.77174227,LOSS,STOP_LOSS,2026-07-26T11:15:31.677270+00:00,2026-07-26T11:15:31.685459+00:00,9477.77957605
ETHUSDT,SHORT,2072.07,2044.9864285714289,3.499457079006793,2085.611785714286,2044.9864285714289,47.388897880249985,94.77779576,14.40746226,80.3703335,WIN,TAKE_PROFIT,2026-07-26T11:15:31.688803+00:00,2026-07-26T11:15:31.697776+00:00,9558.14990955
SOLUSDT,LONG,62.933,61.20585714285714,27.67040916743173,61.20585714285714,66.38728571428572,47.79074954774998,-47.79074955,3.43497297,-51.22572252,LOSS,STOP_LOSS,2026-07-26T11:15:31.701908+00:00,2026-07-26T11:15:31.710295+00:00,9506.92418703
BTCUSDT,SHORT,36785.0,36362.94285714286,0.2252520623788588,36996.02857142857,36362.94285714286,47.53462093514999,95.06924187,16.47672499,78.59251688,WIN,TAKE_PROFIT,2026-07-26T11:15:31.713358+00:00,2026-07-26T11:15:31.722378+00:00,9585.51670391
ETHUSDT,LONG,2046.79,2035.4435714285712,4.224023728509226,2035.4435714285712,2069.4828571428575,47.92758351954999,-47.92758352,17.24345147,-65.17103499,LOSS,STOP_LOSS,2026-07-26T11:15:31.725589+00:00,2026-07-26T11:15:31.733749+00:00,9520.34566892
